property_id,property_type,operation,price,currency,area_m2,bedrooms,bathrooms,parking_spaces,furnished,pets_allowed,year_built,neighborhood,municipality,status,amenities,description
GT-0091,townhouse,rent,12500,GTQ,307.7,1,2,2,False,True,2010,Zona 14,Guatemala,available,"balcony,parking,security","Townhouse in Zona 14, Guatemala; 307.7 square meters and 1 bedrooms."
GT-0092,townhouse,rent,5000,GTQ,111.1,1,1,0,True,False,2001,Zona 15,Guatemala,sold,"balcony,parking,pool","Townhouse in Zona 15, Guatemala; 111.1 square meters and 1 bedrooms."
GT-0093,townhouse,sale,293500,USD,158.7,5,2.5,4,False,False,2017,Zona 10,Guatemala,available,"balcony,gym,parking,pool","Townhouse in Zona 10, Guatemala; 158.7 square meters and 5 bedrooms."
GT-0094,apartment,rent,29000,GTQ,400.8,2,3,0,True,False,2009,Zona 16,Guatemala,available,"balcony,garden,gym,pool","Apartment in Zona 16, Guatemala; 400.8 square meters and 2 bedrooms."
GT-0095,apartment,sale,300500,USD,244.2,4,2.5,1,True,False,2001,Antigua Centro,Antigua Guatemala,available,"garden,gym,parking,pool","Apartment in Antigua Centro, Antigua Guatemala; 244.2 square meters and 4 bedrooms."
GT-0096,apartment,sale,111000,USD,75.0,5,2.5,2,True,False,2019,Zona 16,Guatemala,available,"balcony,gym,pool","Apartment in Zona 16, Guatemala; 75.0 square meters and 5 bedrooms."
GT-0097,townhouse,rent,16000,GTQ,380.2,5,2.5,4,False,False,2019,Zona 16,Guatemala,available,"balcony,garden,security","Townhouse in Zona 16, Guatemala; 380.2 square meters and 5 bedrooms."
GT-0098,house,rent,12500,GTQ,274.5,2,4,1,False,False,2009,Zona 15,Guatemala,available,"balcony,security","House in Zona 15, Guatemala; 274.5 square meters and 2 bedrooms."
GT-0099,apartment,rent,15000,GTQ,393.2,3,4,0,False,False,2018,Zona 16,Guatemala,available,"garden,security","Apartment in Zona 16, Guatemala; 393.2 square meters and 3 bedrooms."
GT-0100,land,sale,726000,USD,391.5,0,0,1,True,False,2020,Zona 15,Guatemala,available,"gym,parking","Land in Zona 15, Guatemala; 391.5 square meters and 0 bedrooms."
